FILE NUMBER,OFFENSE DATE,OFFENSE TIME,CRIME,COMMITTED,OFFENSE,OFFENSE DESCRIPTION,FULL ADDRESS,ADDRESS NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,CITY,STATE,ZIP CODE,DISTRICT,ZONE,SUBZONE,COMPLETE DISTRICT,COUNCIL DISTRICT,CRIME PREVENTION DISTRICT,GEOLOCATION
1900110735,11/01/2019,2239,BATTERY,COMMITTED,13:35.3,DOMESTIC ABUSE BATTERY/CC,13633 BRIARCLIFF DR,13633,,BRIARCLIFF,DR,BATON ROUGE,LA,70815,3,E,3,3E3,4,NONE,"13633 BRIARCLIFF DR
BATON ROUGE, LA 70815
(30.452402, -91.03221)"
1900110677,11/01/2019,1830,THEFT,COMMITTED,13:67,THEFT/MISD/CC,2950 COLLEGE DR,2950,,COLLEGE,DR,BATON ROUGE,LA,70808,2,B,1,2B1,12,NONE,"2950 COLLEGE DR
BATON ROUGE, LA
(30.41991, -91.141008)"
1900112167,11/01/2019,0930,VEHICLE BURGLARY,COMMITTED,14:62/AD,BURG/AUTO OVER $200,970 GOVERNMENT ST,970,,GOVERNMENT,ST,BATON ROUGE,LA,70802,5,A,1,5A1,10,NONE,"970 GOVERNMENT ST
BATON ROUGE, LA 70805
(30.44347, -91.180083)"
1900110677,11/01/2019,1830,ASSAULT,COMMITTED,13:38,ASSAULT/SIMPLE/CC,2950 COLLEGE DR,2950,,COLLEGE,DR,BATON ROUGE,LA,70808,2,B,1,2B1,12,NONE,"2950 COLLEGE DR
BATON ROUGE, LA
(30.41991, -91.141008)"
1900110730,11/01/2019,1900,RESIDENTIAL BURGLARY,COMMITTED,14:62.2/RNF,BURG/S/IN/DWEL/RES NIGHT FORCE,232 ALLAN DR,232,,ALLAN,DR,BATON ROUGE,LA,70815,3,E,3,3E3,4,NONE,"232 ALLAN DR
BATON ROUGE, LA
(30.460126, -91.035614)"
1900055087,11/01/2019,1331,THEFT,COMMITTED,14:67/AR,THEFT AUTO/RECOVERY ONLY,12451 PARKWOOD AV,12451,,PARKWOOD,AV,BATON ROUGE,LA,70815,3,E,3,3E3,4,SHERWOOD FOREST,"12451 PARKWOOD AV
BATON ROUGE, LA 70815
(30.451501, -91.043881)"
1900110576,11/01/2019,1200,OTHER,COMMITTED,11:142,RECK OPER OF VEHICLE/CC,15770 E I10 HW,15770,E,I10,HW,BATON ROUGE,LA,,2,B,1,2B1,,,"15770 E I10 HW
BATON ROUGE, LA"
1900110576,11/01/2019,1200,OTHER,COMMITTED,11:140,D W I /CC,15770 E I10 HW,15770,E,I10,HW,BATON ROUGE,LA,,2,B,1,2B1,,,"15770 E I10 HW
BATON ROUGE, LA"
1900110422,11/01/2019,0110,HOMICIDE,COMMITTED,14:30.1/G,MURDER/GUN 2ND DEGREE,4733 FAIRFIELDS AV,4733,,FAIRFIELDS,AV,BATON ROUGE,LA,70802,1,C,2,1C2,7,NONE,"4733 FAIRFIELDS AV
BATON ROUGE, LA 70805
(30.467667, -91.142473)"
1900016449,11/01/2019,1216,THEFT,COMMITTED,14:67/AR,THEFT AUTO/RECOVERY ONLY,6615 FLORIDA BL,6615,,FLORIDA,BL,BATON ROUGE,LA,70806,1,D,1,1D1,6,MELROSE EAST,"6615 FLORIDA BL
BATON ROUGE, LA 70806
(30.451448, -91.122145)"
1900110576,11/01/2019,1200,OTHER,COMMITTED,11:69,FOLLOWING TOO CLOSE/CC,15770 E I10 HW,15770,E,I10,HW,BATON ROUGE,LA,,2,B,1,2B1,,,"15770 E I10 HW
BATON ROUGE, LA"
1900110418,11/01/2019,0046,THEFT,COMMITTED,14:67/BI,THEFT $50-$200 ALL OTHER,1823 LOUISIANA AV,1823,,LOUISIANA,AV,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"1823 LOUISIANA AV
BATON ROUGE, LA
(30.445751, -91.16978)"
1900110851,11/01/2019,0000,VEHICLE BURGLARY,COMMITTED,14:62/AD,BURG/AUTO OVER $200,4065 CAPITAL HEIGHTS AV,4065,,CAPITAL HEIGHTS,AV,BATON ROUGE,LA,70806,2,A,2,2A2,7,CAPITAL HEIGHTS,"4065 CAPITAL HEIGHTS AV
BATON ROUGE, LA 70806
(30.442386, -91.147969)"
1900110847,11/01/2019,1027,THEFT,COMMITTED,13:67,THEFT/MISD/CC,3730 WINBOURNE AV,3730,,WINBOURNE,AV,BATON ROUGE,LA,70805,1,C,3,1C3,7,NONE,"3730 WINBOURNE AV
BATON ROUGE, LA
(30.478465, -91.152521)"
1900110572,11/01/2019,1332,THEFT,COMMITTED,13:67,THEFT/MISD/CC,9830 OLD HAMMOND HW,9830,,OLD HAMMOND,HW,BATON ROUGE,LA,70816,3,C,3,3C3,11,NONE,"9830 OLD HAMMOND HW
BATON ROUGE, LA
(30.431819, -91.07799)"
1900110581,11/01/2019,1412,OTHER,COMMITTED,13:285,IMPROPER TELEPHONE COMMUNICATIONS,1867 CAROLINA ST,1867,,CAROLINA,ST,BATON ROUGE,LA,70802,2,D,1,2D1,10,NONE,"1867 CAROLINA ST
BATON ROUGE, LA
(30.430252, -91.171575)"
1900110908,11/01/2019,1350,BATTERY,COMMITTED,14:35,BATT/SIMPLE,12020 FLORIDA BL,12020,,FLORIDA,BL,BATON ROUGE,LA,70815,3,E,3,3E3,4,NONE,"12020 FLORIDA BL
BATON ROUGE, LA 70815
(30.459977, -91.049615)"
1900110489,11/01/2019,0745,OTHER,COMMITTED,14:97.1,SOLICITATION ON AN INTERSTATE HIGHWAY,1000 FLORIDA BL,1000,,FLORIDA,BL,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"1000 FLORIDA BL
BATON ROUGE, LA 70802
(30.449579, -91.17947)"
1900110498,11/01/2019,0718,OTHER,COMMITTED,13:285,IMPROPER TELEPHONE COMMUNICATIONS,644 MONET DR,644,,MONET,DR,BATON ROUGE,LA,70806,1,D,1,1D1,6,MELROSE EAST,"644 MONET DR
BATON ROUGE, LA
(30.455288, -91.117268)"
1900110538,11/01/2019,1100,OTHER,COMMITTED,13:285,IMPROPER TELEPHONE COMMUNICATIONS,6315 GREENWELL ST,6315,,GREENWELL,ST,BATON ROUGE,LA,70812,4,D,2,4D2,5,NONE,"6315 GREENWELL ST
BATON ROUGE, LA 70812
(30.502451, -91.128531)"
1900110750,11/01/2019,2319,OTHER,COMMITTED,13:285,IMPROPER TELEPHONE COMMUNICATIONS,5984 VICTORY DR,5984,,VICTORY,DR,BATON ROUGE,LA,70805,4,G,3,4G3,7,NONE,"5984 VICTORY DR
BATON ROUGE, LA 70805
(30.492596, -91.130569)"
1900110578,11/01/2019,1400,VEHICLE BURGLARY,COMMITTED,14:62/AD,BURG/AUTO OVER $200,7695 AIRLINE HW,7695,,AIRLINE,HW,BATON ROUGE,LA,70814,3,A,1,3A1,6,NONE,"7695 AIRLINE HW
BATON ROUGE, LA
(30.471535, -91.108797)"
1900110498,11/01/2019,0718,ASSAULT,COMMITTED,13:37,ASSAULT/AGG/CC,644 MONET DR,644,,MONET,DR,BATON ROUGE,LA,70806,1,D,1,1D1,6,MELROSE EAST,"644 MONET DR
BATON ROUGE, LA
(30.455288, -91.117268)"
1900110953,11/01/2019,1600,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62,BURGLARY/SIMPLE,231 N 26TH ST,231,N,26TH,ST,BATON ROUGE,LA,70806,1,B,1,1B1,10,NONE,"231 N 26TH ST
BATON ROUGE, LA
(30.449435, -91.162)"
,11/01/2019,1844,JUVENILE,COMMITTED,14:93.2.1,CHILD DESERTION,,,,,,,,70808,2,B,2,2B2,12,NONE,
1900110838,11/01/2019,1600,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62,BURGLARY/SIMPLE,233 N 26TH ST,233,N,26TH,ST,BATON ROUGE,LA,70806,1,B,1,1B1,10,NONE,"233 N 26TH ST
BATON ROUGE, LA 70802
(30.449483, -91.162002)"
1900110696,11/01/2019,0730,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62,BURGLARY/SIMPLE,11585 N HARRELL'S FERRY RD,11585,N,HARRELL'S FERRY,RD,BATON ROUGE,LA,70816,3,E,5,3E5,8,NONE,"11585 N HARRELL'S FERRY RD
BATON ROUGE, LA
(30.432412, -91.053662)"
1900110699,11/01/2019,2055,OTHER,COMMITTED,14:62.2,BURGLARY/S INHAB DWELLING,820 BELHAVEN CR,820,,BELHAVEN,CR,BATON ROUGE,LA,70806,1,D,2,1D2,6,NONE,"820 BELHAVEN CR
BATON ROUGE, LA 70806"
1900110598,11/01/2019,1521,THEFT,COMMITTED,14:67/AE,THEFT OVER $200 AUTO PARTS ACC,9874 AVENUE K,9874,,AVENUE K,,BATON ROUGE,LA,70807,4,A,1,4A1,10,NONE,"9874 AVENUE K
BATON ROUGE, LA
(30.534033, -91.199717)"
1900110626,11/01/2019,1745,OTHER,COMMITTED,13:91.9,MISREP OF AGE TO OBTAIN ALCOHOLIC BEV,4383 NICHOLSON DR,4383,,NICHOLSON,DR,BATON ROUGE,LA,70820,2,C,3,2C3,12,NONE,"4383 NICHOLSON DR
BATON ROUGE, LA
(30.396924, -91.17815)"
1900110610,11/01/2019,1603,NON-RESIDENTIAL BURGLARY,ATTEMPTED,14:62,BURGLARY/SIMPLE,1714 BOULEVARD DE PROVINCE BL,1714,,BOULEVARD DE PROVINCE,BL,BATON ROUGE,LA,70816,3,E,5,3E5,8,NONE,"1714 BOULEVARD DE PROVINCE BL
BATON ROUGE, LA 70816
(30.439559, -91.045183)"
1900110558,11/01/2019,1228,THEFT,COMMITTED,14:67/AI,THEFT OVER $200 ALL OTHER,6401 BLUEBONNET BL,6401,,BLUEBONNET,BL,BATON ROUGE,LA,70809,2,F,2,2F2,11,NONE,"6401 BLUEBONNET BL
BATON ROUGE, LA
(30.392517, -91.090116)"
1900110595,11/01/2019,1514,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,13:56,CRIM DAM TO PROP/SIMPLE/CC,1520 79TH AV,1520,,79TH,AV,BATON ROUGE,LA,70807,4,C,1,4C1,2,SOUTHERN HEIGHTS,"1520 79TH AV
BATON ROUGE, LA 70807
(30.519459, -91.17731)"
1900110659,11/01/2019,1805,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,14:56,CRIM DAM TO PROP/SIMPLE,10535 DARRYL DR,10535,,DARRYL,DR,BATON ROUGE,LA,70815,3,D,1,3D1,6,NONE,"10535 DARRYL DR
BATON ROUGE, LA
(30.470872, -91.067146)"
1900110744,11/01/2019,2309,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62,BURGLARY/SIMPLE,10094 AVENUE B ST,10094,,AVENUE B,ST,BATON ROUGE,LA,70807,4,A,1,4A1,2,NONE,"10094 AVENUE B ST
BATON ROUGE, LA 70807
(30.536234, -91.191414)"
1900110471,11/01/2019,0605,BUSINESS ROBBERY,COMMITTED,14:64.1,ROBB/1ST DEGREE,10606 N MALL DR,10606,N,MALL,DR,BATON ROUGE,LA,70809,2,F,2,2F2,9,NONE,"10606 N MALL DR
BATON ROUGE, LA
(30.378407, -91.060987)"
1900110626,11/01/2019,1745,OTHER,COMMITTED,13:91.3,PURCH/POSS ALC PERS UNDER 21/CC,4383 NICHOLSON DR,4383,,NICHOLSON,DR,BATON ROUGE,LA,70820,2,C,3,2C3,12,NONE,"4383 NICHOLSON DR
BATON ROUGE, LA 708290
(30.396924, -91.17815)"
1900110550,11/01/2019,1144,THEFT,COMMITTED,13:67,THEFT/MISD/CC,1542 N FOSTER DR,1542,N,FOSTER,DR,BATON ROUGE,LA,70806,1,C,2,1C2,7,NONE,"1542 N FOSTER DR
BATON ROUGE, LA 70805
(30.463978, -91.139612)"
1900110509,11/01/2019,0600,BATTERY,COMMITTED,14:34/K,BATT/AGG KNIFE,3011 GARNETT DR,3011,,GARNETT,DR,BATON ROUGE,LA,70805,1,C,3,1C3,7,NONE,"3011 GARNETT DR
BATON ROUGE, LA 70805
(30.476664, -91.131123)"
1900110732,11/01/2019,2215,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62,BURGLARY/SIMPLE,5215 HEATHERSTONE DR,5215,,HEATHERSTONE,DR,BATON ROUGE,LA,70820,2,C,3,2C3,3,NONE,"5215 HEATHERSTONE DR
BATON ROUGE, LA 70810
(30.388161, -91.184212)"
1900110476,11/01/2019,0642,BATTERY,COMMITTED,13:35.3,DOMESTIC ABUSE BATTERY/CC,12507 LA MARGIE AV,12507,,LA MARGIE,AV,BATON ROUGE,LA,70815,3,D,2,3D2,6,NONE,"12507 LA MARGIE AV
BATON ROUGE, LA 70815
(30.469971, -91.043686)"
1900110535,11/01/2019,0450,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,14:56,CRIM DAM TO PROP/SIMPLE,3888 NORTH BL,3888,,NORTH,BL,BATON ROUGE,LA,70806,1,C,1,1C1,7,NONE,"3888 NORTH BL
BATON ROUGE, LA 70806
(30.448368, -91.149942)"
1900110438,11/01/2019,0226,OTHER,COMMITTED,C.CR.P. ART 575,FUGITIVE,4609 EARL GROS AV,4609,,EARL GROS,AV,BATON ROUGE,LA,70820,2,C,3,2C3,12,NONE,"4609 EARL GROS AV
BATON ROUGE, LA
(30.39346, -91.179544)"
1900110669,11/01/2019,1842,THEFT,COMMITTED,13:67,THEFT/MISD/CC,4255 W BROOKSTOWN DR,4255,W,BROOKSTOWN,DR,BATON ROUGE,LA,70805,4,G,3,4G3,7,NONE,"4255 W BROOKSTOWN DR
BATON ROUGE, LA
(30.488885, -91.132837)"
1900110585,11/01/2019,1420,BATTERY,COMMITTED,13:35,BATT/SIMPLE/CC,4207 CHARLES ST,4207,,CHARLES,ST,BATON ROUGE,LA,70805,4,G,2,4G2,7,NONE,"4207 CHARLES ST
BATON ROUGE, LA
(30.481528, -91.147102)"
1900110457,11/01/2019,0435,THEFT,COMMITTED,13:67,THEFT/MISD/CC,4728 CONSITIUATION AV,4728,,CONSITIUATION,AV,BATON ROUGE,LA,70808,2,B,2,2B2,12,NONE,"4728 CONSITIUATION AV
BATON ROUGE, LA 70808"
1900110628,11/01/2019,1708,NUISANCE,COMMITTED,12:152,TRESPASSING,720 GOVERNMENT ST,720,,GOVERNMENT,ST,BATON ROUGE,LA,70802,5,A,1,5A1,10,NONE,"720 GOVERNMENT ST
BATON ROUGE, LA 70802
(30.443421, -91.183568)"
1900110428,11/01/2019,0137,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,13:56,CRIM DAM TO PROP/SIMPLE/CC,1188 ROSENWALD AV,1188,,ROSENWALD,AV,BATON ROUGE,LA,70807,4,A,2,4A2,2,NONE,"1188 ROSENWALD AV
BATON ROUGE, LA 70805
(30.531397, -91.181582)"
1900110520,11/01/2019,1005,OTHER,COMMITTED,11:251,MVI REQUIRED/CC,200 COMMUNITY COLLEGE DR,200,,COMMUNITY COLLEGE,DR,BATON ROUGE,LA,70806,1,C,1,1C1,7,NONE,"200 COMMUNITY COLLEGE DR
BATON ROUGE, LA
(30.449549, -91.135986)"
1900110438,11/01/2019,0226,INDIVIDUAL ROBBERY,COMMITTED,14:65,ROBB/SIMPLE,4609 EARL GROS AV,4609,,EARL GROS,AV,BATON ROUGE,LA,70820,2,C,3,2C3,12,NONE,"4609 EARL GROS AV
BATON ROUGE, LA 70802
(30.39346, -91.179544)"
1900110520,11/01/2019,1005,OTHER,COMMITTED,11:252,LIC PLATE REQUIRED/CC,200 COMMUNITY COLLEGE DR,200,,COMMUNITY COLLEGE,DR,BATON ROUGE,LA,70806,1,C,1,1C1,7,NONE,"200 COMMUNITY COLLEGE DR
BATON ROUGE, LA
(30.449549, -91.135986)"
1900110759,11/01/2019,1116,THEFT,COMMITTED,14:67.26,THEFT OF MOTOR VEHICLE,4454 HIGHLAND RD,4454,,HIGHLAND,RD,BATON ROUGE,LA,70808,2,C,3,2C3,12,NONE,"4454 HIGHLAND RD
BATON ROUGE, LA
(30.402429, -91.170817)"
1900110543,11/01/2019,1129,OTHER,COMMITTED,14:103A(3),DIST/PEACE/INTOXICATED,300 SAINT VINCENT DE PAUL PL,300,,SAINT VINCENT DE PAUL,PL,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"300 SAINT VINCENT DE PAUL PL
BATON ROUGE, LA"
1900110578,11/01/2019,1511,THEFT,COMMITTED,14:69,ILL POSS STLN THINGS,9808 FLORIDA BL,9808,,FLORIDA,BL,BATON ROUGE,LA,70815,3,A,1,3A1,6,NONE,"9808 FLORIDA BL
BATON ROUGE, LA 70815
(30.455683, -91.076579)"
1900110578,11/01/2019,1511,NARCOTICS,COMMITTED,40:968,POSS/DIST MANF SCH III,9808 FLORIDA BL,9808,,FLORIDA,BL,BATON ROUGE,LA,70815,3,A,1,3A1,6,NONE,"9808 FLORIDA BL
BATON ROUGE, LA 70815
(30.455683, -91.076579)"
1900110520,11/01/2019,1005,OTHER,COMMITTED,11:82,STOP SIGN/YIELD SIGN/CC,200 COMMUNITY COLLEGE DR,200,,COMMUNITY COLLEGE,DR,BATON ROUGE,LA,70806,1,C,1,1C1,7,NONE,"200 COMMUNITY COLLEGE DR
BATON ROUGE, LA 70815
(30.449549, -91.135986)"
1900110520,11/01/2019,1005,OTHER,COMMITTED,11:288,INSURANCE REQUIRED/CC,200 COMMUNITY COLLEGE DR,200,,COMMUNITY COLLEGE,DR,BATON ROUGE,LA,70806,1,C,1,1C1,7,NONE,"200 COMMUNITY COLLEGE DR
BATON ROUGE, LA
(30.449549, -91.135986)"
1900110189,11/01/2019,0704,OTHER,COMMITTED,C.CR.P. ART 575,FUGITIVE,2599 CHIPPEWA ST,2599,,CHIPPEWA,ST,BATON ROUGE,LA,70805,4,G,3,4G3,10,NONE,"2599 CHIPPEWA ST
BATON ROUGE, LA
(30.473083, -91.162083)"
1900110189,11/01/2019,0704,THEFT,COMMITTED,14:68.4,UNAU USE OF MOTOR VEHICLE,7015 AIRLINE HW,7015,,AIRLINE,HW,BATON ROUGE,LA,70805,4,G,3,4G3,5,NONE,"7015 AIRLINE HW
BATON ROUGE, LA 70805
(30.486413, -91.119746)"
1900110543,11/01/2019,1129,OTHER,COMMITTED,14:97,OBST OF PUBLIC HWY/SIMPLE,300 SAINT VINCENT DE PAUL PL,300,,SAINT VINCENT DE PAUL,PL,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"300 SAINT VINCENT DE PAUL PL
BATON ROUGE, LA 70802"
1900106261,11/01/2019,1100,VEHICLE BURGLARY,COMMITTED,14:62/AD,BURG/AUTO OVER $200,4194 BURBANK DR,4194,,BURBANK,DR,BATON ROUGE,LA,70808,2,C,2,2C2,12,NONE,"4194 BURBANK DR
BATON ROUGE, LA
(30.401932, -91.176688)"
1900110497,11/01/2019,0833,ASSAULT,COMMITTED,14:37.7,ASSAULT/AGG DOMESTIC ABUSE,3112 MISSION,3112,,MISSION,,BATON ROUGE,LA,70805,1,C,3,1C3,7,NONE,"3112 MISSION
BATON ROUGE, LA
(30.477025, -91.144896)"
1900110438,11/01/2019,0226,OTHER,COMMITTED,14:108,RESISTING AN OFFICER,4609 EARL GROS AV,4609,,EARL GROS,AV,BATON ROUGE,LA,70820,2,C,3,2C3,12,NONE,"4609 EARL GROS AV
BATON ROUGE, LA
(30.39346, -91.179544)"
1900110497,11/01/2019,0833,OTHER,COMMITTED,14:46.1,FALSE IMP W/DANG WEA,3112 MISSION,3112,,MISSION,,BATON ROUGE,LA,70805,1,C,3,1C3,7,NONE,"3112 MISSION
BATON ROUGE, LA
(30.477025, -91.144896)"
1900110586,11/01/2019,1343,INDIVIDUAL ROBBERY,COMMITTED,14:65,ROBB/SIMPLE,153 N 17TH ST,153,N,17TH,ST,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"153 N 17TH ST
BATON ROUGE, LA
(30.448483, -91.171486)"
1900110445,11/01/2019,0259,INDIVIDUAL ROBBERY,COMMITTED,14:64,ARMED ROBBERY,4938 SHELLEY ST,4938,,SHELLEY,ST,BATON ROUGE,LA,70805,4,G,2,4G2,5,NONE,"4938 SHELLEY ST
BATON ROUGE, LA 70805
(30.492223, -91.140996)"
1900110520,11/01/2019,1005,OTHER,COMMITTED,32:415,D/L SUSP/REV,200 COMMUNITY COLLEGE DR,200,,COMMUNITY COLLEGE,DR,BATON ROUGE,LA,70806,1,C,1,1C1,7,NONE,"200 COMMUNITY COLLEGE DR
BATON ROUGE, LA
(30.449549, -91.135986)"
